Field=#~Integer~#~50|Field=Comment~String~Comment~125|Field=Description~String~Description~283|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~98|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LPEDT.PrjPcb|ReportField=ProjectFullPath~C:\Users\akshi\Desktop\LPEDT\low-power\Hardware\LPEDT.PrjPcb|ReportField=Title~Bill of Materials For Project [LPEDT.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~87|ReportField=ReportTime~7:31:26 PM|ReportField=ReportDate~11/6/2017|ReportField=ReportDateTime~11/6/2017 7:31:26 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~1.0|ReportField=ApprovedBy~|ReportField=Author~Chase E Stewart|ReportField=CheckedBy~|ReportField=CompanyName~Three-Eyed Ravens|ReportField=CurrentDate~11/6/2017|ReportField=CurrentTime~7:30:43 PM|ReportField=Date~10/18/2017|ReportField=DocumentFullPathAndName~C:\Users\akshi\Desktop\LPEDT\low-power\Hardware\TopLevel.SchDoc|ReportField=DocumentName~TopLevel.SchDoc|ReportField=DocumentNumber~001|ReportField=DrawnBy~Chase E Stewart|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/30/2017|ReportField=Organization~CU Boulder|ReportField=ProjectName~LPEDT.PrjPcb|ReportField=Revision~1.1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~Top-Level Schematic|ReportField=DataSourceFileName~LPEDT.PrjPcb|ReportField=DataSourceFullPath~C:\Users\akshi\Desktop\LPEDT\low-power\Hardware\LPEDT.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|SparkFun Test Points||15, TP19, TP20, TP21, TP23|PAD.02X.02|TEST-POINT2|5|{URL}{URL.TEXT}36-5019CT-ND,%2036-5019DKR-ND,%2036-5019CT-ND,%2036-5019CT-ND,%2036-5019DKR-ND{URL.TIP}Supplier
2|10uF|Capacitor (Semiconductor SIM Model)|C1, C4, C12|1608[0603]|Cap Semi|3|{URL}{URL.TEXT}1276-1948-1-ND,%201276-1948-6-ND,%201276-1948-6-ND{URL.TIP}Supplier
3|10nF|Capacitor (Semiconductor SIM Model)|C2, C3|1608[0603]|Cap Semi|2|{URL}{URL.TEXT}311-1085-1-ND,%20311-1085-6-ND{URL.TIP}Supplier
4|0.1uF|Capacitor (Semiconductor SIM Model)|C5, C10, C15, C19, C20, C25|1608[0603]|Cap Semi|6|{URL}{URL.TEXT}311-1088-6-ND,%20311-1088-6-ND,%20311-1088-1-ND,%20311-1088-1-ND,%20311-1088-6-ND,%20311-1088-6-ND{URL.TIP}Supplier
5|47uF|Capacitor (Semiconductor SIM Model)|C6|1608[0603]|Cap Semi|1|{URL}{URL.TEXT}478-11180-2-ND{URL.TIP}Supplier
6|100uF|146 CTI Series 50 V 100 uF 10 x 10 x 10 mm SMT CAN Electrolytic Capacitor|C7, C9, C22, C24, C26|CAPAE1050X1050N|MAL214699103E3|5|{URL}{URL.TEXT}4437PHCT-ND{URL.TIP}Supplier
7|1uF|Capacitor (Semiconductor SIM Model)|C8, C11, C16, C21|1608[0603]|Cap Semi|4|{URL}{URL.TEXT}1276-1946-6-ND,%201276-1946-6-ND,%201276-1946-1-ND,%201276-1946-6-ND{URL.TIP}Supplier
8|100nF|Capacitor (Semiconductor SIM Model)|C13|1608[0603]|Cap Semi|1|{URL}{URL.TEXT}311-1088-1-ND{URL.TIP}Supplier
9|100pF|Capacitor (Semiconductor SIM Model)|C14|1608[0603]|Cap Semi|1|{URL}{URL.TEXT}399-7824-1-ND{URL.TIP}Supplier
10|0.47uF|Capacitor (Semiconductor SIM Model)|C17|1608[0603]|Cap Semi|1|{URL}{URL.TEXT}490-3295-1-ND{URL.TIP}Supplier
11|2.2uF|Capacitor (Semiconductor SIM Model)|C18, C23|1608[0603]|Cap Semi|2|{URL}{URL.TEXT}587-2983-6-ND{URL.TIP}Supplier
12|MBRS140|MBRS140|D1|DO-214AC|MBRS140|1|{URL}{URL.TEXT}MBRS140T3GOSDKR-ND{URL.TIP}Supplier
13|LED|Orange 0603 160Â° 80 mcd 2.1 V 30 mA Non Diffused Surface Mount LED|D3|0603_TLMO1100-GS08(Primary)|TLMO1100-GS08|1|{URL}{URL.TEXT}751-1174-6-ND{URL.TIP}Supplier
14|Power Jack||J1|POWER_JACK_SMD|POWER_JACKSMD|1|{URL}{URL.TEXT}{URL.TIP}Supplier
15|10uH|Inductor|L1, L2|INDM7366X500|Inductor|2|{URL}{URL.TEXT}732-1025-1-ND{URL.TIP}Supplier
16|Battery Connector||P0|JST_B2B-PH-SM4-TB|B2B-PH-SM4-TB|1|{URL}{URL.TEXT}{URL.TIP}Supplier
17|Header, 6 Pin|Header, 6-Pin|P1|HDR1X6|Header 6|1|{URL}{URL.TEXT}732-5327-ND{URL.TIP}Supplier
18|Header, 3-Pin|Header, 3-Pin|P2, P3|HDR1X3|Header 3|2|{URL}{URL.TEXT}{URL.TIP}Supplier
19|Header, 6-Pin|Header, 6-Pin|P5|HDR1X6|Header 6|1|{URL}{URL.TEXT}{URL.TIP}Supplier
